Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
female,group B,master's degree,free/reduced,completed,married,regularly,no,1,private,> 10,62,79,83
female,group B,high school,standard,completed,married,regularly,yes,2,private,05-Oct,70,84,79
male,group A,high school,standard,completed,divorced,regularly,yes,5,school_bus,> 10,76,75,77
male,group E,some high school,standard,none,married,sometimes,no,3,school_bus,< 5,91,86,76
female,group D,some college,standard,none,single,never,yes,3,school_bus,05-Oct,76,84,78
female,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,05-Oct,63,67,70
female,group C,bachelor's degree,free/reduced,completed,married,sometimes,no,1,school_bus,< 5,41,50,52
female,group C,master's degree,standard,completed,divorced,sometimes,yes,1,school_bus,05-Oct,81,92,89
female,group B,high school,free/reduced,completed,married,sometimes,no,2,school_bus,< 5,44,53,56
female,group B,master's degree,free/reduced,completed,divorced,regularly,yes,2,school_bus,05-Oct,54,72,65
female,group D,some high school,standard,completed,divorced,regularly,yes,0,school_bus,05-Oct,99,100,100
male,group C,master's degree,free/reduced,completed,single,sometimes,yes,2,private,< 5,60,68,75
female,group C,some college,free/reduced,none,single,sometimes,yes,1,private,05-Oct,46,64,66
male,group C,associate's degree,free/reduced,completed,married,never,yes,5,private,< 5,61,65,62
male,group E,high school,standard,none,married,never,yes,1,school_bus,< 5,75,73,62
male,group D,some high school,standard,completed,married,sometimes,no,4,private,05-Oct,62,66,68
male,group B,some high school,free/reduced,none,married,regularly,no,3,school_bus,< 5,47,51,45
female,group C,bachelor's degree,standard,none,single,sometimes,yes,1,school_bus,< 5,74,86,85
female,group E,associate's degree,standard,none,married,sometimes,yes,2,school_bus,05-Oct,66,65,69
male,group D,some college,standard,completed,married,sometimes,no,2,school_bus,< 5,73,81,77
male,group D,associate's degree,standard,none,married,regularly,no,4,school_bus,< 5,60,54,52
female,group C,associate's degree,standard,completed,single,regularly,no,1,private,< 5,66,83,86
female,group D,some college,free/reduced,none,divorced,sometimes,yes,3,school_bus,< 5,63,79,75
male,group C,associate's degree,standard,none,married,sometimes,yes,2,school_bus,05-Oct,69,77,69
male,group E,bachelor's degree,standard,none,married,regularly,yes,4,school_bus,05-Oct,84,62,63
male,group E,high school,standard,completed,married,regularly,no,2,school_bus,05-Oct,83,81,77
female,group B,some college,free/reduced,none,married,regularly,yes,1,private,< 5,73,80,76
male,group D,some high school,free/reduced,completed,widowed,sometimes,yes,3,school_bus,< 5,77,77,77
female,group C,high school,free/reduced,none,divorced,sometimes,yes,2,school_bus,05-Oct,42,62,60
male,group C,associate's degree,free/reduced,completed,single,regularly,no,1,school_bus,05-Oct,61,51,57
female,group E,associate's degree,free/reduced,completed,married,sometimes,yes,3,school_bus,< 5,80,84,86
male,group B,high school,free/reduced,none,married,sometimes,no,2,school_bus,< 5,64,75,68
female,group D,high school,standard,completed,widowed,regularly,yes,4,school_bus,05-Oct,57,69,75
male,group B,associate's degree,standard,none,married,sometimes,yes,0,school_bus,> 10,89,86,74
male,group D,some high school,standard,none,married,regularly,no,3,school_bus,05-Oct,88,81,76
female,group C,some college,standard,none,married,sometimes,yes,5,school_bus,05-Oct,72,72,71
male,group D,high school,standard,none,single,regularly,yes,0,school_bus,05-Oct,58,50,55
female,group C,some college,standard,completed,married,regularly,yes,3,school_bus,> 10,93,97,98
female,group B,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,05-Oct,67,86,83
male,group E,some high school,standard,none,divorced,sometimes,yes,3,school_bus,> 10,94,88,79
male,group C,bachelor's degree,standard,completed,married,sometimes,no,3,school_bus,> 10,85,83,85
male,group D,associate's degree,standard,none,married,regularly,no,1,school_bus,> 10,84,77,80
male,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,2,school_bus,< 5,62,65,67
male,group B,some college,standard,none,married,regularly,yes,2,private,> 10,57,53,53
female,group E,bachelor's degree,standard,none,single,regularly,no,4,private,05-Oct,82,84,85
male,group D,some high school,standard,none,divorced,regularly,yes,1,school_bus,< 5,74,73,69
male,group C,associate's degree,standard,none,married,sometimes,no,3,private,< 5,82,74,69
female,group B,high school,standard,completed,single,sometimes,yes,1,private,05-Oct,58,70,68
female,group B,high school,standard,none,married,sometimes,yes,2,private,< 5,63,63,60
male,group A,some high school,standard,completed,single,sometimes,yes,2,school_bus,05-Oct,47,49,49
female,group B,some high school,standard,completed,single,sometimes,yes,3,private,05-Oct,60,70,70
male,group D,high school,standard,none,married,sometimes,yes,0,private,05-Oct,54,52,52
female,group E,some college,standard,none,single,sometimes,no,1,school_bus,05-Oct,62,73,70
female,group C,associate's degree,free/reduced,none,single,sometimes,no,5,private,< 5,62,71,66
female,group C,some high school,free/reduced,completed,married,sometimes,yes,1,private,> 10,65,80,78
male,group C,some college,standard,completed,married,sometimes,no,2,school_bus,05-Oct,79,79,78
female,group C,some high school,free/reduced,none,married,regularly,no,2,private,05-Oct,45,50,52
female,group E,high school,standard,none,single,sometimes,yes,1,private,05-Oct,99,93,90
male,group D,high school,standard,none,married,sometimes,no,2,private,05-Oct,76,73,68
male,group D,some high school,free/reduced,none,divorced,sometimes,no,1,school_bus,< 5,57,41,40
female,group D,high school,standard,none,married,regularly,no,3,school_bus,05-Oct,71,73,78
female,group D,associate's degree,standard,completed,married,regularly,yes,5,school_bus,> 10,93,94,99
male,group C,bachelor's degree,standard,none,married,sometimes,yes,2,school_bus,05-Oct,69,63,61
female,group D,associate's degree,free/reduced,none,single,regularly,yes,2,private,05-Oct,48,53,59
female,group D,some college,standard,none,married,sometimes,no,2,private,05-Oct,65,70,71
male,group C,bachelor's degree,standard,none,married,sometimes,no,3,school_bus,05-Oct,83,78,73
female,group C,some high school,standard,completed,married,sometimes,yes,3,private,< 5,82,90,91
female,group C,some high school,free/reduced,none,married,sometimes,yes,1,school_bus,05-Oct,65,86,80
male,group B,bachelor's degree,free/reduced,none,widowed,sometimes,no,2,school_bus,05-Oct,73,56,57
female,group D,bachelor's degree,free/reduced,none,divorced,regularly,no,3,school_bus,05-Oct,75,80,86
male,group B,associate's degree,standard,completed,married,never,yes,3,school_bus,05-Oct,78,80,79
male,group E,associate's degree,standard,completed,married,regularly,yes,0,private,05-Oct,99,83,90
female,group B,some high school,standard,none,married,sometimes,no,1,school_bus,< 5,64,87,80
male,group C,associate's degree,standard,none,married,sometimes,no,2,school_bus,05-Oct,76,70,68
male,group D,some high school,standard,none,married,sometimes,yes,2,private,< 5,83,71,68
male,group C,some high school,standard,completed,married,never,yes,1,private,05-Oct,61,59,55
male,group D,high school,free/reduced,completed,single,regularly,yes,3,school_bus,05-Oct,80,78,82
male,group B,associate's degree,free/reduced,none,married,never,yes,1,school_bus,> 10,66,61,59
male,group A,some college,free/reduced,completed,married,never,yes,2,private,< 5,76,75,77
female,group C,associate's degree,standard,completed,single,never,yes,5,school_bus,> 10,66,83,80
male,group B,associate's degree,standard,none,married,regularly,yes,1,school_bus,05-Oct,82,77,65
female,group C,associate's degree,standard,completed,married,regularly,yes,2,school_bus,05-Oct,76,76,85
male,group E,some college,standard,completed,divorced,regularly,yes,5,private,05-Oct,100,88,83
female,group B,associate's degree,free/reduced,none,married,regularly,no,3,private,> 10,56,73,70
female,group B,associate's degree,standard,none,married,sometimes,no,2,school_bus,05-Oct,73,76,80
male,group B,bachelor's degree,standard,none,married,never,yes,3,school_bus,< 5,62,58,54
female,group C,associate's degree,free/reduced,completed,single,sometimes,yes,2,private,> 10,70,68,70
male,group C,high school,standard,none,married,regularly,no,3,private,05-Oct,73,66,66
female,group D,master's degree,standard,completed,widowed,never,yes,3,private,05-Oct,74,80,88
male,group C,associate's degree,standard,none,single,sometimes,no,1,school_bus,05-Oct,83,72,78
female,group D,associate's degree,free/reduced,none,single,regularly,no,1,school_bus,< 5,55,64,63
female,group E,high school,standard,none,married,never,no,3,private,> 10,74,85,78
female,group C,some college,standard,none,married,regularly,yes,2,private,< 5,70,80,80
female,group C,some high school,free/reduced,none,married,sometimes,yes,5,private,05-Oct,40,52,51
female,group C,some college,standard,none,single,sometimes,yes,3,school_bus,05-Oct,82,90,94
male,group C,some college,standard,none,married,sometimes,yes,1,school_bus,05-Oct,61,61,62
male,group A,some college,free/reduced,none,married,regularly,yes,2,school_bus,> 10,29,23,19
male,group C,associate's degree,standard,completed,married,sometimes,yes,5,school_bus,05-Oct,82,75,77
female,group B,some high school,standard,none,married,sometimes,yes,2,school_bus,< 5,39,54,49
male,group E,associate's degree,standard,completed,married,never,no,3,school_bus,> 10,61,55,52
male,group B,associate's degree,standard,none,single,sometimes,yes,1,school_bus,05-Oct,90,78,81
female,group B,some high school,free/reduced,none,single,sometimes,no,3,school_bus,< 5,23,37,26
female,group D,some high school,free/reduced,completed,married,sometimes,yes,3,school_bus,05-Oct,35,55,60
male,group C,high school,free/reduced,none,married,regularly,yes,1,school_bus,> 10,61,62,54
male,group D,associate's degree,standard,completed,single,sometimes,yes,3,private,< 5,64,70,65
female,group C,high school,standard,none,married,sometimes,yes,4,private,05-Oct,72,80,75
male,group E,associate's degree,standard,none,divorced,regularly,yes,2,private,> 10,92,76,79
female,group B,bachelor's degree,standard,none,married,sometimes,yes,0,private,05-Oct,52,65,69
female,group C,some college,standard,completed,married,sometimes,no,1,school_bus,< 5,61,76,78
female,group C,associate's degree,standard,none,married,regularly,no,1,private,< 5,45,57,57
female,group B,bachelor's degree,standard,none,single,regularly,no,3,school_bus,> 10,64,74,73
female,group C,some college,free/reduced,completed,married,sometimes,yes,1,private,< 5,40,65,67
female,group D,some college,standard,none,divorced,sometimes,no,1,private,< 5,77,88,87
female,group B,high school,standard,none,married,never,yes,1,school_bus,05-Oct,56,61,57
male,group B,some high school,standard,completed,single,regularly,yes,3,private,05-Oct,87,85,79
female,group C,some college,standard,none,single,regularly,no,2,private,05-Oct,53,58,59
female,group D,some high school,free/reduced,none,single,sometimes,no,3,school_bus,< 5,26,33,31
male,group C,some college,standard,none,divorced,regularly,yes,1,school_bus,05-Oct,60,60,59
male,group A,bachelor's degree,free/reduced,completed,married,regularly,no,2,private,> 10,51,59,62
female,group A,some high school,free/reduced,none,single,sometimes,yes,2,private,05-Oct,44,64,58
female,group D,some high school,standard,none,single,regularly,yes,5,school_bus,05-Oct,71,83,84
male,group E,some college,standard,none,married,regularly,yes,3,private,05-Oct,86,78,72
female,group C,some college,free/reduced,completed,single,sometimes,no,4,school_bus,05-Oct,45,73,70
male,group D,some high school,standard,none,single,sometimes,yes,0,private,> 10,76,75,73
female,group D,some college,standard,completed,married,sometimes,yes,1,private,> 10,84,98,97
female,group D,some high school,standard,none,single,sometimes,no,2,school_bus,> 10,82,91,83
female,group A,some high school,standard,none,single,sometimes,no,1,private,> 10,73,84,78
male,group A,bachelor's degree,standard,none,married,regularly,yes,1,private,05-Oct,67,64,63
female,group B,associate's degree,standard,none,single,sometimes,yes,1,school_bus,05-Oct,80,86,83
male,group C,associate's degree,standard,completed,divorced,sometimes,yes,0,private,< 5,84,98,93
female,group E,some high school,free/reduced,none,divorced,regularly,yes,3,private,> 10,40,50,47
female,group A,some high school,free/reduced,none,divorced,never,no,5,private,05-Oct,35,41,40
female,group E,some college,standard,none,divorced,regularly,yes,2,private,05-Oct,69,77,76
female,group E,bachelor's degree,standard,none,single,sometimes,yes,0,school_bus,< 5,62,71,68
female,group D,high school,standard,none,single,sometimes,yes,3,private,05-Oct,62,64,64
male,group D,master's degree,standard,none,married,sometimes,no,1,school_bus,< 5,71,70,75
male,group E,some high school,free/reduced,completed,single,regularly,yes,0,private,05-Oct,75,68,60
female,group D,some college,standard,none,single,sometimes,no,3,private,< 5,74,66,75
male,group E,some college,standard,none,married,sometimes,yes,3,school_bus,> 10,78,68,68
male,group C,associate's degree,standard,completed,divorced,regularly,yes,4,private,> 10,60,55,58
female,group B,high school,free/reduced,none,married,never,no,5,school_bus,05-Oct,48,65,61
male,group B,some high school,standard,none,single,regularly,yes,0,school_bus,< 5,73,62,57
male,group D,some high school,standard,none,single,never,no,4,private,< 5,56,57,51
female,group C,some high school,standard,completed,married,regularly,yes,3,private,05-Oct,60,54,68
female,group A,some college,free/reduced,none,married,regularly,no,2,school_bus,> 10,51,66,57
female,group D,high school,standard,completed,single,sometimes,yes,4,private,05-Oct,88,99,100
female,group C,high school,standard,none,single,regularly,yes,0,school_bus,05-Oct,55,59,63
male,group B,associate's degree,standard,completed,married,regularly,no,3,school_bus,> 10,68,66,65
female,group D,high school,free/reduced,completed,divorced,sometimes,no,2,school_bus,05-Oct,52,57,56
male,group D,associate's degree,standard,completed,widowed,never,no,5,school_bus,> 10,86,83,84
male,group E,high school,standard,none,single,regularly,no,3,private,05-Oct,86,74,70
male,group C,bachelor's degree,standard,completed,married,sometimes,yes,3,private,< 5,68,72,66
male,group D,some college,standard,none,married,regularly,no,4,private,05-Oct,70,59,63
male,group E,high school,free/reduced,completed,married,sometimes,no,3,private,05-Oct,57,56,54
female,group D,master's degree,free/reduced,completed,divorced,never,yes,0,private,> 10,47,59,68
male,group C,bachelor's degree,standard,none,married,regularly,yes,2,school_bus,05-Oct,88,84,88
male,group C,some high school,free/reduced,none,single,regularly,yes,0,private,05-Oct,71,72,66
male,group C,some high school,free/reduced,none,married,sometimes,no,3,school_bus,> 10,70,63,55
male,group C,high school,standard,none,single,never,yes,4,school_bus,< 5,57,54,52
male,group D,associate's degree,standard,none,married,regularly,yes,3,school_bus,05-Oct,77,69,65
female,group A,some high school,free/reduced,none,married,sometimes,yes,2,school_bus,05-Oct,59,73,69
male,group A,some high school,free/reduced,none,married,sometimes,yes,0,school_bus,05-Oct,79,82,73
male,group C,high school,standard,completed,single,regularly,yes,2,school_bus,> 10,91,83,83
male,group B,high school,standard,none,widowed,regularly,yes,4,school_bus,05-Oct,48,46,43
female,group C,some college,free/reduced,completed,divorced,sometimes,yes,3,private,05-Oct,64,85,85
female,group C,associate's degree,free/reduced,none,married,regularly,no,1,school_bus,> 10,68,79,77
male,group C,some college,free/reduced,none,married,never,yes,3,private,> 10,64,57,48
male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,0,school_bus,05-Oct,37,56,47
female,group D,bachelor's degree,standard,none,divorced,sometimes,no,3,school_bus,05-Oct,79,89,89
male,group C,bachelor's degree,free/reduced,none,married,regularly,no,1,private,< 5,52,57,55
male,group B,some college,free/reduced,none,married,sometimes,yes,1,school_bus,05-Oct,54,54,45
female,group E,some college,standard,none,divorced,never,no,1,private,05-Oct,68,68,74
female,group C,some college,free/reduced,none,widowed,sometimes,yes,4,school_bus,05-Oct,77,90,91
female,group D,associate's degree,free/reduced,none,divorced,sometimes,no,1,school_bus,> 10,26,31,38
male,group A,high school,free/reduced,completed,married,regularly,no,7,school_bus,> 10,76,69,67
female,group A,high school,free/reduced,completed,single,regularly,yes,3,private,05-Oct,79,89,87
female,group C,associate's degree,standard,completed,divorced,sometimes,no,1,private,05-Oct,83,85,90
female,group C,associate's degree,standard,completed,married,sometimes,yes,4,school_bus,05-Oct,68,86,84
female,group D,some high school,standard,none,married,sometimes,no,5,private,> 10,57,66,60
male,group E,bachelor's degree,standard,completed,single,sometimes,yes,2,school_bus,05-Oct,76,62,66
female,group D,master's degree,standard,none,single,never,yes,1,private,05-Oct,53,64,70
male,group E,associate's degree,standard,none,single,sometimes,yes,4,school_bus,> 10,78,72,68
male,group B,high school,standard,completed,married,sometimes,yes,1,private,05-Oct,73,71,68
male,group A,high school,standard,none,divorced,sometimes,yes,2,private,05-Oct,59,52,46
female,group B,associate's degree,standard,none,single,regularly,no,3,school_bus,< 5,48,51,54
male,group D,some college,free/reduced,none,married,sometimes,yes,3,private,05-Oct,61,47,56
male,group B,some high school,standard,completed,divorced,regularly,yes,1,school_bus,05-Oct,65,53,58
female,group A,associate's degree,free/reduced,none,married,regularly,no,1,school_bus,< 5,64,84,76
female,group C,some college,standard,none,married,sometimes,no,1,school_bus,05-Oct,83,83,90
female,group C,bachelor's degree,standard,none,married,sometimes,yes,6,school_bus,< 5,78,86,88
female,group B,high school,standard,none,divorced,regularly,yes,2,school_bus,< 5,53,63,68
male,group D,high school,standard,completed,divorced,sometimes,yes,4,private,05-Oct,68,64,66
female,group C,some college,standard,none,married,regularly,no,3,school_bus,< 5,53,47,52
male,group E,some college,standard,none,married,sometimes,yes,3,school_bus,< 5,73,69,70
female,group D,master's degree,standard,none,married,sometimes,yes,2,school_bus,05-Oct,74,80,84
female,group B,associate's degree,standard,completed,married,sometimes,yes,0,private,< 5,91,85,90
female,group E,associate's degree,standard,completed,married,regularly,yes,3,school_bus,> 10,100,91,96
female,group D,master's degree,free/reduced,none,single,regularly,yes,1,private,05-Oct,41,61,57
female,group B,some high school,standard,none,married,sometimes,yes,3,school_bus,< 5,79,80,78
male,group A,high school,standard,none,married,regularly,yes,1,school_bus,05-Oct,70,71,67
female,group C,bachelor's degree,standard,none,married,regularly,no,1,private,05-Oct,88,93,89
male,group D,some high school,free/reduced,none,married,regularly,no,2,school_bus,< 5,61,48,52
female,group B,some high school,standard,completed,divorced,regularly,yes,3,private,05-Oct,55,61,63
female,group B,master's degree,free/reduced,completed,single,sometimes,yes,3,school_bus,05-Oct,77,97,94
female,group C,some high school,standard,completed,married,sometimes,no,1,private,05-Oct,76,87,85
female,group E,some college,standard,completed,divorced,never,yes,1,school_bus,05-Oct,64,72,71
female,group D,some high school,standard,completed,single,regularly,no,1,school_bus,05-Oct,67,79,79
female,group B,high school,free/reduced,completed,married,sometimes,no,5,school_bus,05-Oct,67,78,79
female,group C,associate's degree,standard,none,single,sometimes,yes,4,private,05-Oct,91,86,84
male,group C,some high school,free/reduced,completed,single,sometimes,yes,4,school_bus,< 5,54,60,58
female,group D,bachelor's degree,free/reduced,none,single,sometimes,no,2,private,< 5,28,40,46
female,group C,associate's degree,standard,none,married,never,no,1,private,05-Oct,60,72,68
female,group C,some high school,standard,none,married,never,yes,2,private,05-Oct,45,53,51
male,group E,associate's degree,standard,completed,single,sometimes,yes,2,school_bus,< 5,60,60,56
female,group E,associate's degree,standard,completed,married,sometimes,no,4,school_bus,05-Oct,79,88,94
male,group B,high school,standard,completed,married,sometimes,no,1,school_bus,> 10,75,70,69
female,group C,bachelor's degree,free/reduced,completed,married,sometimes,yes,5,private,05-Oct,66,83,83
female,group D,high school,standard,none,married,never,yes,1,school_bus,05-Oct,49,65,60
male,group A,associate's degree,standard,completed,married,sometimes,no,3,school_bus,> 10,99,93,87
male,group C,high school,standard,completed,married,sometimes,no,1,private,05-Oct,75,69,68
female,group D,associate's degree,standard,none,single,regularly,no,2,private,> 10,86,97,93
male,group E,some high school,free/reduced,completed,married,regularly,yes,1,school_bus,05-Oct,80,84,82
female,group A,some high school,standard,completed,married,sometimes,yes,3,school_bus,05-Oct,92,100,97
male,group C,high school,standard,completed,divorced,regularly,yes,2,private,< 5,71,66,64
female,group C,high school,free/reduced,none,married,regularly,no,5,school_bus,< 5,61,66,64
male,group C,master's degree,standard,none,married,sometimes,yes,1,school_bus,< 5,77,72,69
